Player,Pos.,Team,Total Value,Avg/Year,"Total 
Guaranteed","Avg. 
Guarantee/Year",% Guaranteed
Irv Smith Jr.,TE,Vikings,"$5,798,444","$1,449,611","$3,490,614","$872,654",60.2%
Quincy Wilson,CB,Jets,"$5,766,262","$1,441,566","$3,525,747","$881,437",61.1%
Uchenna Nwosu,LB,Chargers,"$5,759,578","$1,439,895","$3,490,583","$872,646",60.6%
J.K. Dobbins,RB,Ravens,"$5,729,438","$1,432,360","$3,207,293","$801,823",56.0%
Stefen Wisniewski,LG,Steelers,"$2,850,000","$1,425,000","$375,000","$187,500",13.2%
Raekwon Davis,DT,Dolphins,"$5,655,510","$1,413,878","$3,150,165","$787,541",55.7%
A.J. Brown,WR,Titans,"$5,652,368","$1,413,092","$3,377,738","$844,435",59.8%
Dallas Goedert,TE,Eagles,"$5,624,282","$1,406,071","$3,386,037","$846,509",60.2%
Van Jefferson,WR,Rams,"$5,611,140","$1,402,785","$3,115,880","$778,970",55.5%
Chris Thompson,RB,Jaguars,"$1,400,000","$1,400,000","$250,000","$250,000",17.9%
Matt LaCosse,TE,Patriots,"$2,800,000","$1,400,000","$500,000","$500,000",17.9%
Deon Bush,S,Bears,"$1,400,000","$1,400,000","$637,500","$637,500",45.5%
Tyus Bowser,EDGE,Ravens,"$5,575,506","$1,393,877","$3,378,326","$844,582",60.6%
Ezra Cleveland,LT,Vikings,"$5,537,216","$1,384,304","$3,058,756","$764,689",55.2%
Drew Sample,TE,Bengals,"$5,506,296","$1,376,574","$2,769,866","$692,467",50.3%
Connor Williams,LG,Cowboys,"$5,488,996","$1,372,249","$3,281,496","$820,374",59.8%
Denzel Mims,WR,Jets,"$5,433,696","$1,358,424","$2,978,766","$744,692",54.8%
Devonta Freeman,RB,Giants,"$1,350,000","$1,350,000",$0,$0,0.0%
Nickell Robey-Coleman,CB,Eagles,"$1,350,000","$1,350,000","$1,350,000","$1,350,000",100.0%
Josh Uche,EDGE,Patriots,"$5,389,336","$1,347,334","$2,944,486","$736,122",54.6%
Miles Sanders,RB,Eagles,"$5,360,230","$1,340,058","$3,151,995","$787,999",58.8%
Anthony Miller,WR,Bears,"$5,353,700","$1,338,425","$3,176,950","$794,238",59.3%
Kristian Fulton,CB,Titans,"$5,330,196","$1,332,549","$2,898,786","$724,697",54.4%
Ryan Anderson,EDGE,Washington,"$5,324,722","$1,331,181","$3,184,557","$796,139",59.8%
Vernon Hargreaves,CB,Texans,"$1,325,000","$1,325,000","$250,000","$250,000",18.9%
A.J. Dillon,RB,Packers,"$5,285,830","$1,321,458","$2,760,240","$690,060",52.2%
"Willie Gay, Jr.",LB,Chiefs,"$5,271,046","$1,317,762","$2,853,081","$713,270",54.1%
Jeremy Chinn,LB,Panthers,"$5,241,474","$1,310,369","$2,687,027","$671,757",51.3%
Kemoko Turay,EDGE,Colts,"$5,218,404","$1,304,601","$3,072,404","$768,101",58.9%
Lonnie Johnson Jr.,CB,Texans,"$5,214,132","$1,303,533","$3,039,119","$759,780",58.3%
Andre Roberts,WR,Bills,"$1,300,000","$1,300,000",$0,$0,0.0%
Dan Vitale,FB,Patriots,"$1,300,000","$1,300,000","$100,000","$100,000",7.7%
Vinny Curry,DE,Eagles,"$1,300,000","$1,300,000","$1,300,000","$1,300,000",100.0%
Justin Evans,S,Buccaneers,"$5,199,286","$1,299,822","$3,087,631","$771,908",59.4%
Matthias Farley,S,Jets,"$1,290,000","$1,290,000",$0,$0,0.0%
M.J. Stewart,CB,Browns,"$5,083,118","$1,270,780","$2,967,863","$741,966",58.4%
DeMarcus Walker,IDL,Broncos,"$5,073,852","$1,268,463","$2,990,702","$747,676",58.9%
Max Scharping,LG,Texans,"$5,068,088","$1,267,022","$2,926,248","$731,562",57.7%
Maurice Canady,CB,Cowboys,"$1,250,000","$1,250,000","$200,000","$200,000",16.0%
Darian Thompson,S,Cowboys,"$2,500,000","$1,250,000","$200,000","$100,000",8.0%
Max Garcia,LG,Cardinals,"$1,250,000","$1,250,000","$600,000","$600,000",48.0%
Antony Auclair,TE,Buccaneers,"$1,250,000","$1,250,000","$800,000","$800,000",64.0%
Tom Compton,RG,49ers,"$1,250,000","$1,250,000","$1,050,000","$1,050,000",84.0%
Mecole Hardman,WR,Chiefs,"$4,995,052","$1,248,763","$2,869,812","$717,453",57.5%
J.J. Arcega-Whiteside,WR,Eagles,"$4,951,224","$1,237,806","$2,835,944","$708,986",57.3%
Jessie Bates III,S,Bengals,"$4,947,817","$1,236,954","$2,383,313","$595,828",48.2%
Logan Wilson,LB,Bengals,"$4,945,592","$1,236,398","$1,156,792","$289,198",23.4%
Antonio Gibson,RB,Washington,"$4,932,638","$1,233,160","$1,147,372","$286,843",23.3%
Julian Okwara,EDGE,Lions,"$4,931,340","$1,232,835","$1,146,428","$286,607",23.2%
Ashtyn Davis,S,Jets,"$4,917,388","$1,229,347","$1,136,280","$284,070",23.1%
Damien Lewis,RG,Seahawks,"$4,902,146","$1,225,537","$1,125,196","$281,299",23.0%
Trysten Hill,IDL,Cowboys,"$4,878,196","$1,219,549","$2,779,516","$694,879",57.0%
Brandon Jones,S,Dolphins,"$4,873,102","$1,218,276","$1,104,072","$276,018",22.7%
Justin Madubuike,DE,Ravens,"$4,853,310","$1,213,328","$1,089,680","$272,420",22.5%
Kameron Canaday,LS,Steelers,"$2,425,000","$1,212,500","$450,000","$225,000",18.6%
Luke Rhodes,LS,Colts,"$4,850,000","$1,212,500","$1,250,000","$312,500",25.8%
Pharoh Cooper,WR,Panthers,"$1,210,000","$1,210,000","$300,000","$300,000",24.8%
Josh Jones,LT,Cardinals,"$4,839,336","$1,209,834","$1,079,516","$269,879",22.3%
Donte Jackson,CB,Panthers,"$4,812,526","$1,203,132","$2,758,771","$689,693",57.3%
Davon Hamilton,DT,Jaguars,"$4,810,681","$1,202,670","$1,065,836","$266,459",22.2%
Le'Raven Clark,RT,Colts,"$1,200,000","$1,200,000","$300,000","$300,000",25.0%
Zack Baun,LB,Saints,"$4,787,121","$1,196,780","$1,059,048","$264,762",22.1%
Zach Wood,LS,Saints,"$4,780,000","$1,195,000","$1,300,000","$325,000",27.2%
Parris Campbell,WR,Colts,"$4,775,936","$1,193,984","$2,700,496","$675,124",56.5%
Kelvin Beachum,RT,Cardinals,"$1,187,500","$1,187,500",$0,$0,0.0%
Dre Kirkpatrick,CB,Cardinals,"$1,187,500","$1,187,500",$0,$0,0.0%
Pernell McPhee,EDGE,Ravens,"$1,187,500","$1,187,500","$137,500","$137,500",11.6%
Neiko Thorpe,CB,Seahawks,"$1,187,500","$1,187,500","$137,500","$137,500",11.6%
Kevin Minter,LB,Buccaneers,"$1,187,500","$1,187,500","$137,500","$137,500",11.6%
Kelechi Osemele,LG,Chiefs,"$1,187,500","$1,187,500","$137,500","$137,500",11.6%
